timestamp,emotion_label,s1,s2,s3,s4,s5,s6,s7,s8,muscle_name
1747580725,happy,276,45,36,42,42,55,50,219,"Zygomaticus Major, Orbicularis oculi"
1747580725,happy,481,20,37,47,29,52,49,419,"Orbicularis oculi, Zygomaticus Major"
1747580725,happy,49,43,12,29,8,51,46,547,Orbicularis oculi
1747580725,happy,579,49,29,26,28,41,18,350,"Orbicularis oculi, Zygomaticus Major"
1747580725,happy,534,62,9,18,50,25,61,228,"Orbicularis oculi, Zygomaticus Major"
1747580725,happy,446,9,8,18,29,38,38,8,Zygomaticus Major
1747580725,happy,236,19,19,55,13,58,47,352,"Orbicularis oculi, Zygomaticus Major"
1747580725,happy,566,38,19,38,57,44,49,27,Zygomaticus Major
1747580725,happy,192,30,10,36,50,37,39,204,"Zygomaticus Major, Orbicularis oculi"
1747580725,happy,284,11,48,32,12,41,14,424,"Zygomaticus Major, Orbicularis oculi"
1747580725,happy,443,39,52,50,14,49,30,474,"Orbicularis oculi, Zygomaticus Major"
1747580725,happy,594,42,51,40,15,57,31,57,Zygomaticus Major
1747580725,happy,516,39,36,30,26,10,15,539,"Zygomaticus Major, Orbicularis oculi"
1747580725,happy,181,37,36,50,33,37,22,366,"Zygomaticus Major, Orbicularis oculi"
1747580725,happy,376,26,39,53,28,14,48,557,"Zygomaticus Major, Orbicularis oculi"
1747580725,happy,431,46,20,9,43,19,25,472,"Zygomaticus Major, Orbicularis oculi"
1747580725,happy,190,16,18,16,51,32,58,12,Zygomaticus Major
1747580725,happy,540,55,30,53,51,54,55,375,"Zygomaticus Major, Orbicularis oculi"
1747580725,happy,41,21,53,51,51,35,40,346,Orbicularis oculi
1747580725,happy,48,29,41,38,37,30,39,354,Orbicularis oculi
1747580725,happy,7,27,51,26,30,57,52,407,Orbicularis oculi
1747580725,happy,16,8,60,35,16,31,34,209,Orbicularis oculi
1747580725,happy,433,37,50,54,44,10,36,59,Zygomaticus Major
1747580725,happy,383,23,59,31,22,20,33,206,"Orbicularis oculi, Zygomaticus Major"
1747580725,happy,292,60,20,24,63,49,38,433,"Orbicularis oculi, Zygomaticus Major"
